,sentiment,text
46,1.0,maybe ill make a video and show ya what this beautiful place is all about
47,1.0,the red sox got a home run
48,1.0,help im getting addicted to twitter working at twitting at the same time
49,1.0,did some summer cleaning of my computer removed 125gb
50,1.0,thanks
51,1.0,white water here i come
52,1.0,on the way to the airport
53,1.0,at first i had my doubts that nextmedia tech crowd could pull off the party at aurorabut damn was i wrong goodnight everyone
54,1.0,its not my job to know anybody anybody says so i would immediately keep distance with them
55,1.0,bum notes guess what im now watching mmk those tv shows in the buses must have some effect on my tolerance for local tv channels
56,1.0,no one on twitter has goodsex you can all pretend
57,1.0,wow i will need to adjust my sleep or just wake up like this at odd times  well i do that anyway its how i roll hehe
58,1.0,night
59,1.0,lol so am i  kinda  what is it you do actually
60,1.0,got back from hastingsbexhill last night  brill wknd got a little bit burnt  ooops
61,1.0,coffee date with the ladies  i see cotie in a few hours lt3
62,1.0,feel abit poorly but okay otherwise hungry tho  as always you okay shiney boyx
63,1.0,its nice isnt it pets shelf of pretty books its just missing urs  lol
64,1.0,if so can you share that tupac memory with us
65,1.0,porto is incredibly beautiful
66,1.0,thank you  have a great weekend
67,1.0,had a great time last night skyy vodka does the body good until the next morning  hehe
68,1.0,me 2  my macbook is packed with ga music haha
69,1.0,right after being distracted by  s wiki ive decided to start getting on with some of  video stuff
70,1.0,that would be cute
71,1.0,thanks we had a good team working on this more stuff to come
72,1.0,im yours  jason mrazlooking for an electric guitar  yay1
73,1.0,are westlife definently coming back ive been to every concert in glasgow and last year got first row for the first time
74,1.0,is happy that today is a good friday don panic be happy
75,1.0,lovely day in abingdon driving to north yorkshire as soon as weve got everything together hope sun stays with us
76,1.0,then jb wiill sweep you up and take you with them
77,1.0,yay twitter is back  im glad i was only awake for 4 minutes of this maintenance crap
78,1.0,following pnk  ll
79,1.0,arent the 1st morning tweets the most excitables
80,1.0,morning world its a beautiful day  heres hoping for some pathetic fallacy
81,1.0,or quottherequot  whatever  its bloody early but insomnia  fresh blueberry muffins for breakfast mmm
82,1.0,i know sleep is so over rated who needs it right
83,1.0,thank you very much everybody for the kind comments about my design work  im flattered
84,1.0,belgiums still the same
85,1.0,fine its ours
86,1.0,indeed i do   then again we are esri nz  estimating customers in nz should recieve it sometime in june
87,1.0,hope youre mending up well  i look forward to seeing you buzzing around france soon
89,1.0,is heading back home this afternoon after a great weekend up here
90,1.0,i have for itunes i can burn you the itunes copy if you want
91,1.0,carlton better get on it i just lapped him  2256 followers as of this morning  travis im comin for ya
92,1.0,loading  watching nothing but the truth
93,1.0,i missed wearing jeans
94,1.0,damn i havent read any more of breaking dawn but ive got loads of piano music  might just go and experiment with them
95,1.0,do it  ill follow and contribute
96,1.0,the glasses make you look coquettish
97,1.0,is taking esv study bible to church dispite chiropractors recomendations not to  its big
98,1.0,hmmm yum   btw why you have so many tatoos  not like i hate it or anything lol x
99,1.0,please tom say hola to the argentinian fans
100,1.0,just ha5 dinner at we be shushi we be happy
101,1.0,is off to the gym to do some hectic cardio training
102,1.0,lol she is definatley insaneif you couldnt tell from the start then you wernt paying much attention ppl
103,1.0,depends which side will be either 20quot or 31quot
104,1.0,did a really cool thing with a bubble video that might be worth looking into too
105,1.0,septum and you are coming
106,1.0,por fin viernesssssssssssssssssssssssssssssssss
107,1.0,gonna watch the outsiders
108,1.0,looks like you guys were having fun
109,1.0,kaathaala romba bore adichathu athan   hws t hot hot weekend
110,1.0,some really awesome girls
111,1.0,is getting ready for a day outside  i should go out and mow the lawn and then golfing this afternoon
112,1.0,amazing person and a leader now its time to say a big thank you dial my number any time as you will always have me as a friend
113,1.0,oh thats cool my ex had a band so i spent a lot of time home alone at least youre bein productive tonite
114,1.0,thanks
115,1.0,back from the blood test now i get 2 eat
116,1.0,last night was well good  charlotte amp imogens are awesome
117,1.0,and to clear it upthis wasnt an insult  love ya  could you say to clear sth upalso etwas klarstellen
118,1.0,going to sainsburys n then cutteslowe after by the way this message is sent through txt not web  x
119,1.0,is playing around on facebook then im going out before i go to work   x
120,1.0,brings back memories
121,1.0,hey nice new pic sounds like you had a good trip
122,1.0,yay party tonite tried getting ready for it last night but was so tired it least i know what i am going to wear
123,1.0,oh i hope you and  dont have to wait that long either
124,1.0,mojitos are really good  hanging out with the covas family for brittaneys graduation
125,1.0,just got sent home from school for being to far ahead despite missing 3 weeks of school woot
126,1.0,kenny chesney concert was amazing i love sugarland
127,1.0,it aint over til its over
128,1.0,i kno so i change that 100 to 200 ughh
129,1.0,i agree it doesnt match my eyes and it makes my skin tone look pale
130,1.0,just had lunchlol btw good afternoon ppl
131,1.0,yeah and flock of seagulls haircuts
132,1.0,britney spears is following me how cool i should improve my twitters
133,1.0,woh nothing judgmental here just a pure guess retrieved from 140
134,1.0,the bahamas is the best place ever to relax i cant wait to go back
135,1.0,i started off just messaging new peeps that appeared on old account but then thought may as well work my way back
136,1.0,at least you got  create his account
137,1.0,on my way to  for breakfast
138,1.0,go for it bridezillas is a good topic plus u have first hand experience
139,1.0,trueblood and dexter should be back within weeks best shows ok maybe not ever but currently at any rate
140,1.0,thats fine better than keeping it dead right
141,1.0,is watchin her burger n chips being cookd lol  x
142,1.0,lol exercise yes brain gym yes i did
143,1.0,thanks so much  i just really wanna hear his commentary hahaha  im almost done watching all tv whedon im up to spin t
144,1.0,one needs to go further up the road its only a bit farther than where youre at
145,1.0,if you had the test already how did u do if not good luck
146,1.0,going to the car show today cant wait
147,1.0,finally got twitterfon up amp running
148,1.0,accompany zakir to do his passport today 4 cousin wedding on saturday need to eat moreim getting thinner again lol stresshead
149,1.0,still learning but always want to rock whoot hehe  lol
150,1.0,oatmeal raisin cookies
151,1.0,thanks for the follow  x
152,1.0,going outt for supper tn    happy mothers dayy
153,1.0,yes  is on twitter
154,1.0,cheskalabbyu  thanks for following  take care
155,1.0,we have 89 in extra ggui donations and ive been thinking that should go towards ipb 170 total needed can anyone still donate
156,1.0,very good manners
157,1.0,today shall be great
158,1.0,oooo wanna share with me
159,1.0,ouch their biological clocks are quiet wonky arent they hee b loves schedule as long as it doesnt match mine
160,1.0,you asked about my sf schedule dahlingmaybe next time
161,1.0,oh im a girl and gaming computers are awesome  they support better graphics and sound so games are pretty and dont lag
162,1.0,night all only 5 hours of sleep last night amp i was cranky all day short with everyone tomorrow i shall have more patience amp bk 2 me
163,1.0,really i interpret it as yes i can do that amp not bother u further hav said to bosses in the past
164,1.0,hi  survey seems working now
165,1.0,morning i have messy hair and its wet time to get dressed science history re and music exam today
166,1.0,maybe coz of hight hill tc
167,1.0,my smile technique  so you wont see my pimple hahaa
168,1.0,ampamp ill confess that i can be a lil selfish smile
169,1.0,whoo ah whoo each night we have a walk it almost breaks my heart because im so afraid well have to part
170,1.0,gt quotstreet dreams are made of thesewho am  to dsagreequot 4thrty love ths song
171,1.0,ohmygoodness i have been saying quotprophetessquot for years i think i even screamed it at a concert so embarrassed
172,1.0,hahaha  okay i hopeee you loooose  oh and i pre orderd new jb album  and burnin up book and rolling stone posterr  x
173,1.0,good morning  how are you thank you for the followfriday
174,1.0,my dog is definitely cuter than yours
175,1.0,that exciting huh
176,1.0,cousins graduation
177,1.0,yeah just wrote something just published it actually have a third glass of wine left bed soon i guess  how are ya
178,1.0,fingers crossed and all the best to you like millions id love to be in your shoes maybe just for the launch part though
179,1.0,how is everyone on this fine monday   what is everyones opinion of the new wolverine movie
180,1.0,thanks  hahah well hopefully your internet gets fixed soon
181,1.0,thats awesome
182,1.0,plan for today have a bath get ready eat get to the garden amp get drunk  and then tomorrow its my bday at last
183,1.0,movie day
184,1.0,my kittys so snuggly and designed to sell is on what else do i need hmm maybe some food
185,1.0,is watching titanic
186,1.0,im so excited  have a fantastic day
187,1.0,there sure seems to be a lot of cromarty in your life today  hope the weather stays fine for the fence painting
188,1.0,aww i love tom milsoms music   think you dont get enough appreciation
189,1.0,thanks  no wonder i couldnt find it i ll take my  out of the mattress now
190,1.0,does your skin care routine keep away redness wrinkles and acne mine does      wwwvotrevucomsocalbeauty  want free samples
191,1.0,waiting for mum friend to come he gonna teach me how to drive a land rover  luuv big cars
192,1.0,time to enjoy whats left of the weekend after a day in workhomemade pizza for tea amp cannot wait for a lie in tomorrow
193,1.0,either way itll be exciting for them
194,1.0,hi sweet pea
195,1.0,youre welcomemost enjoyable to read  x
196,1.0,so im leaving soon to go to a park with my mum but when i return we must watch lost oh and im on episode 11 of btvs
197,1.0,found out about the earthquake on twitter  didnt feel it one bit because i was driving
198,1.0,lakers lead by six in overtime yay
199,1.0,hrm happy quot10000 days oldquot day
200,1.0,had a gooood wekeend  now having a biiig breakfast to then do my hw and have the night off
201,1.0,highland wildlife park today yeyyy  yuri and sasha the tiggiesshorrttssssss aye
202,1.0,lol no im not a quotlogo designer personquot per se lol but i happen to be good and everything but a pro at nothing
203,1.0,lazy friday night with my chicas
204,1.0,i like to remember it as m goes with m ie mallory weiss is the mucosal tear then the other ones the other one
205,1.0,well if you are ever bored id give it a go
206,1.0,mother     daughter  let us know what you think
207,1.0,lol i love ur sense of humor id better nevr let u find out bout my most embarrassing stuff ull nevr let me live it down
208,1.0,yes i really do
209,1.0,yay im leaving for dallas  you are still invited
210,1.0,finethere are so many movies 2 anticipateespecially quotharry potter 6quotcause thats shown on my birthmonthwooot
211,1.0,boored and still doesnt get whats twittersomeone plss explain to me
212,1.0,yup am now complications were had so am home mending now good to be out of hospital missing the endless cups of tea tho
213,1.0,excited that wristcutters is finally on on demand
214,1.0,im gonna cuddle with my dog and play donkey kong my life is pathetic
215,1.0,i know that i have issues but youre pretty fucked up tooso dont judge me
216,1.0,thanks to everyone following me  i have a bebo
217,1.0,well when i have to move again i know where i am going  yay lol
218,1.0,mmmm slim fast and a fruit cup yummy breakfast
219,1.0,sooo good seeing you
220,1.0,if you find any let me know  all i ever find is manga
221,1.0,ohhh and and and haha lol swag igotmyswagback hahaa honestly i feel flattered
222,1.0,now a days its not good to be married to a liberal i already stay in trouble 4 not agreeing with her even more so now
223,1.0,are chesterquest runnerups invited to send you more recent samples id love to see what you think about my current stuff
224,1.0,love spain its so much fun
225,1.0,observation after 24 hours of russia  i think they like being pessimistic here  rusland2009
226,1.0,i wont get a chance to put in my fob question in so im a little bummed but im watching jim gaffigan king baby so its all good  bacon
227,1.0,work early emptied the dishwasher cleaned the kitchen and made coffeeand its only 10 after 8
228,1.0,3 things i need rite now food car my negra  lol
229,1.0,yeah they are quite uncommon i only know of them thanks to gran turismo
230,1.0,no prob im glad youre enjoyin it
231,1.0,hey leighton how are you i really like your songs  youre such a great actress  take care
232,1.0,they should bottle it  lol
233,1.0,wtf are you still awake i wanna go swimming
234,1.0,ill be tweeting 4u during the 48hr tweetfest to raise money 4 schools in kenyaethiopia 1719jun ghni  via
235,1.0,i love the theme song quotit all started with the big bang bangquot
236,1.0,you could always go to seattle  i think they should have some cool places
237,1.0,no santigold for me tonight work til 10 and im off tomorrow
238,1.0,jenson button  6 wins from 7 races   hope he can keep it up at silverstone  lol
239,1.0,hey the  are doing a live web chat on may 7th im inviting you  jonaslive
240,1.0,for realz safe travels hope things go much more smoothly this time around   amp that you are having a great day so far
241,1.0,in fairness he smells good
242,1.0,thatboy  your welcome i like your posts
243,1.0,annnie babes  i have to revise for busman  give me sympathy hahaha
244,1.0,waiting for game 2 to start go lakers
245,1.0,you guys
246,1.0,i take it back you called me last week and i said no you get a pass this time but dont let it happen again
247,1.0,love the twitter handle   is  this intended to provide support for all bing addicts  i feel like binging on bing
248,1.0,someone is happppy
249,1.0,saw the hawks dustin byfuglien kris versteeg amp colin fraser out in the neighborhood on this kick ass thursday morn conference finals
250,1.0,please  about marion cotillard
251,1.0,twitter often does weird stuff
252,1.0,finished the first day of bridges exhausted but happy
253,1.0,didnt know you were watching the new dr who  i like the show and the  dr too
254,1.0,will be away for a few minutes now lunch  hehe x
255,1.0,on our birthday i am definatly coming down to regina n we will party it up    cant wait haha
256,1.0,i had forgotten just how lovely loratabs are when in pain maybe sleep will be in my cards tonight
257,1.0,hehe good one
258,1.0,girls are we having dinner on wednesday with mels and pews
259,1.0,just finished working out
260,1.0,not sure my tweets will be up to usual standard for some days while i wake up
261,1.0,splish splash  welcome summer
262,1.0,gday mate
263,1.0,were having leeky linguine with shrimp and sour dough bread on the side its super easy to cook and tastes delicious
264,1.0,just finished the 2nd shopaholic book   going to bed now back to school tomorrow
265,1.0,thank you    for the love and for the retweets
266,1.0,i look forward to joining the revolution
267,1.0,glad to hear it
268,1.0,just came back from watching my brothers play seven hours of volleyball with  amp alex smith  fun but very long and tiring
269,1.0,sending out paper work to tax commission to have the process to get the title for my bike so i can do the major repairs
270,1.0,welcome moma to twitter
271,1.0,and that is why jeremy did not ride the bull  although i told  offered 500 to do it  i said make it 1000
272,1.0,danny please please please say ich liebe deutschland pleeeeease  xx
273,1.0,try addingchanging bio it worked for me  for some strange reason s
274,1.0,sleeping finally
275,1.0,also with runes keep it simple as possible
276,1.0,note 2 all premier issue arriving october instead of september  extra month to get it juuuuuuuust right
277,1.0,watched the new moon trailer just then now just have to wait for the next one
278,1.0,daft punk can cheer up any situation
279,1.0,happy birthday  hope you have an awesome day
280,1.0,amen  and lets not forget the 14e gs title which puts him right next to sampras no pressure roger noooo pressure
281,1.0,2 words paranoidjonas
282,1.0,camilla i love your eyes you have the cutest face and the most gorgeous figure really good actor
283,1.0,hey lady how you been
284,1.0,just saw star trek again and it was just as good as the first time that says a lot about a movie these days
285,1.0,thinking of school  and blogging too  i loveee robert pattinson
286,1.0,luckylucky boy my bf and i broke upthe distance was too much so happy for you  rock that boys world
287,1.0,is enjoying the beginning of her summer
288,1.0,well i said that cos obviously shaun lt3s himself alot so i lt3 you alot  hahahahah
289,1.0,hope ya hit the waffle house up in va beach too
290,1.0,sana claus s tru you are so very pretty
291,1.0,looking forward to stephen porter and sasha in lush this evening getting oiled up as i type
292,1.0,fuddruckers with
293,1.0,sweeet now thats the kinda news i wanna hear  haha
294,1.0,omg youre finally friends with the emo fag
295,1.0,for my very short followfriday some new tweeps that i have found very interesting
296,1.0,soooooo i finally joined twitter what do you know and terminator was freaking awesome christian totally made that movie
297,1.0,oh and did i meantion that i bought a crackberry just after midnight  yeah  should be here tomorrow afternoon
298,1.0,i know this week will be amazing theyre like 15 mins away from me omg omg
299,1.0,whats your fav milkshake place in flagstaff  flg needing a creamy delightful pick me up
300,1.0,off to school on a saturday oh god starbucks stop
301,1.0,still cant believe that im in smd
302,1.0,i had so much fun with dyson at the races tonight im excited excited about girls night in stloius
303,1.0,exactly which is why i suggested it
304,1.0,ahaha muy bueno   the lion sleep tonight
305,1.0,sharing is caring
306,1.0,morninggood for you good news on the smile front
307,1.0,up was amazing i love doug the dog must get a stuffed one at wdw i hope to one day see my name in the credits for a disney movie
308,1.0,your target speed for our quotracequot will be revised accordingly
309,1.0,listening some music
310,1.0,we got thrown under the bus by friends were left behind to sit together we agreed we in out on purpose sometime this week
311,1.0,playing some killer basketball with some friends
312,1.0,haha that only helps if anything  thanks
313,1.0,ah how lovely  i hope you have a peaceful and relaxing day truly cannot wait to see you in australia x
314,1.0,hey  i know you
315,1.0,cant wait to get away for the weekend finals tomorrow and off to the river to get my tan on
316,1.0,omg guess what im drawing hi
317,1.0,i hear that washington is beautiful
318,1.0,he better stop it  its amazing how u meet someone out the blue and click with them instantly
319,1.0,i can sleep in more yay
320,1.0,thanks  im happy with how it turned out
321,1.0,well be filming  tweeting  blogging so youll be able to see all the doggy guests
322,1.0,the new moon teaser is great it must be the new director   jacob is a hottie now i wanna see the rest of the wolfpack though
323,1.0,yeah its not an easy time out there now thankfully there are good ppl like  and  to help
324,1.0,i dont think so and maybe we should call the cat flugel after all ive always wanted to meet a alcoholic cat once
325,1.0,now holds the guinness world record fm one in 20 million
326,1.0,awesome  well have fun in nz
327,1.0,u know 1st date awkwardness twitter is just like that but the more you hang out 2gether more comfortable u become
328,1.0,have fun
329,1.0,yeh so excited  xxx
330,1.0,well technically may ran outta days you amp i dont have to call it june if we dont wanna  lol
331,1.0,i want to see away we go i love you john
332,1.0,power advertisement how do you guys handle fax  i want to receive them via email no hassle anyone tried myfax
333,1.0,its 636pm in the lovely albany what time is it over there guys love to here from you
334,1.0,fresh
335,1.0,any evening but monday and wednesday i have class those nites otherwise im good  so excited do u need ribbon 4 sheri c
336,1.0,metro station are in philippines fly me home
337,1.0,remember me
338,1.0,eatinqq  beef patty
339,1.0,hell yea cutie
340,1.0,nope i am infact superwoman
341,1.0,is perfectly cooked and delicious not an option
342,1.0,im 18 almost 19 may 30thand have only had sex with 2 girls and plus it would make a sweet bday present
343,1.0,want to swap
344,1.0,was up to early this morning  went to the tip and everything  feeling tired now feel a relaxing trip to the pub coming on
345,1.0,changed my profile photo hope it looks nice
346,1.0,my day so far laundry trip into town back home  now am going to have a well deserved break before lunch then a visit to the library
347,1.0,sweet me too i cant wait to tell the receptionist in the doctors office about it  she likes hearing about our adventures
348,1.0,omg  how mean  theyre adorable
349,1.0,lol thats what i do too just travel to school everyday and fridays and weekends off
350,1.0,i think i start loving friendfeed
351,1.0,its night already that was quick
352,1.0,hey low mitchel awesome music  woot
353,1.0,i still have the blackjack
354,1.0,now that i now youre an owner ill try it out theres one here in roseville ca
355,1.0,good morning feeling a little snarky this morning  how are you you you and you
356,1.0,congratulations on reaching over 7000 followers you are much loved to have many who support and follow your tweets
357,1.0,youre welcome google wave rocks cant wait to use it
358,1.0,went to the dark side and rooted my g1
359,1.0,woohooooooooooo is stalking ya
360,1.0,follo0w the beards
361,1.0,can other countries view the live feed as well thanks for your time
362,1.0,kelly clarkson is actually very smart and funny such a relief  fb watching good news week
363,1.0,favorite party about last night getting attention from guys while you sat and watched
364,1.0,i guess i should dye my hair tonight since  made it painfully clear to me that my roots are showing
365,1.0,wow youre my first follower  i assume thats from my oprah message lol  anyway thanks
366,1.0,getting ready for jonathan coulton and paul and storm in atlanta hoping for first of mayquot  jocorequests
367,1.0,in great spirits due to a beautiful day in a great city plans for shopping and an anticipated visitor later
368,1.0,why is comfort food always bad for my health had the avocado bacon cheeseburger anyway to help concentration
369,1.0,just met a friend i like shes one of my friends i went to franbe with   talking with her made me happy
370,1.0,so according to mr tagg if i do this peer tutoring hell let me be an environment prefect next year yay for extra cred
371,1.0,awesome i have the camera they modeled this after its the one in our living room along with everything else
372,1.0,go you  only 11 more days to go have you tried doing doubles
373,1.0,nawww11  congratulations lynz and gerard on bandit lee i honestly couldnt be happier for you
374,1.0,we did pretty well we had people all day and made about 160 we are going to have another one in 2 weeks
375,1.0,maureen on screen
376,1.0,installed windows 7 on laptop so far its a lot better than vista   think xp will finally have a successor
377,1.0,just woke up  off to westfield in a while agaaaiin  commentsubscribe
378,1.0,cool nachos  have yew talked to jayk or any of chur friends that chu might of mentioned once of twice
379,1.0,lol i like challenges  the more impossible the more i want to try
380,1.0,about time
381,1.0,ok goodnight
382,1.0,im still keen to look more at android i have been flat out getting my new laptop sorted out
383,1.0,thank you
384,1.0,you should ask if people want to see kevin jonas in a leotard
385,1.0,got back from working at the fosters then hung out with brooke and holly for a bit
386,1.0,so stealth i got the movie  gonna go watch itmethod man and redman are life
387,1.0,arrived at funchalvery hot and beer cold  pics later
388,1.0,bronzin my body  poolside
389,1.0,working hard on a beautiful day yeaaaah  in st francis wi
390,1.0,hey lisa cant wait to see you in the us looking forward to pretty reckless as well  take care
391,1.0,is watching a young red devils team hopefully we can win
392,1.0,i wish you want to fly the team up
393,1.0,i have dual monitor osx and dual monitor win 7 setup to clarify i can use the win 7 duals but only 1 mac
394,1.0,sounds great
395,1.0,owwwe is andyp in london yeh probably if its anything like the weather here you say take a brolly i say take a cab
396,1.0,just got twitter
397,1.0,catching a flight in a few hours  surprised when i woke up from a short nap all my bags are packed  thank you mrs ash ill miss you
398,1.0,hey   long time no talk girl
399,1.0,aaaaaaaah that sounds mental
400,1.0,work again only 3 more days then 2 days of fun at the track
401,1.0,well good luck
402,1.0,ive been laying awake in the bed for a half hour maybe its time to get out off bed
403,1.0,i just too my first breathalizer and passed yessss
404,1.0,put new strings on my les paul  exam block is best auz so happy to chill and do nothing but play guitar l
405,1.0,yay youve booked your flight i wish you a smooth transition  if you need anything please do not hesitate to contact me
406,1.0,going to sleep  have a great day to everyone
407,1.0,iphone sdk amp i are going to become friends today even if it kills me
408,1.0,lol your welcome   fifth element is one of my favorite movies and well star trek is star trek
409,1.0,chillin should be sleepingi miss you hun
410,1.0,am bout 2 go 2 sixflags and ride da new terminator salvation  cheeaaaaaa haha ltluisgt
411,1.0,magic is on aug 31st  sept 2nd  are you going
412,1.0,the best band twitter bora fazer as faixas
413,1.0,aww thanks  its getting better yea how are ya so far lt3
414,1.0,are you eating out  just posted some great restaurant deals incl free meals
415,1.0,at work latte is now rushing through my veins  hellllooooooo monday
416,1.0,did you see the dinner photos that i send to you
417,1.0,awww okay
418,1.0,maybe someone on here wil recognize  him
419,1.0,the brew looks delicious
420,1.0,great dinner tonight  mozambican prawns
421,1.0,going to tramici with her amazing boyfriend i love you ford
422,1.0,you must be louis vuitton not reebokin while you drink that fresca
423,1.0,ooohh but a good quotdquot and well worth it whoever came up with that one is a genius
424,1.0,yay william i saw your video and im sorry about what happened i hope it gets better soon
425,1.0,nice  didnt sing to mine  cant but looking for lessons to change that
426,1.0,new love really
427,1.0,so tired waking up at 610 d mathh finalll  then win then homelt3
428,1.0,as part of your goode job shot you should come hang out here and talk wine    thanks for the love
429,1.0,more like mr fluman right now i think
430,1.0,im real good  hows the biz
431,1.0,tonight was supper fun chilled with some this cute guy and two pretty girls  undercover thats always enjoyable
432,1.0,hehneverill never go red commiemwuahahahaha rofl
433,1.0,do you have a canon eos 500d  rebel t1i come on take the camera into the pool and make pics
434,1.0,my internet will be up in a day or so once they fix the wiring so ill be able to send  then  nice seeing you too
435,1.0,enjoy the view do you have any more pics to share with us
436,1.0,eating pijahat with  boya jenni and erin
438,1.0,i love my life but im tired so im going to bed  goodnight twitter
439,1.0,shes cute
440,1.0,filling up the paddling pool for the kids
442,1.0,please come to germany  please please please love your new single ladies video
443,1.0,obviors al desayuno  oye british te quedan 3 meses en shile
444,1.0,thank you to everyone whose following me once i get to a pc ill follow u
445,1.0,up  soooooo good i laughed i cried just so cute
446,1.0,thankfully theres stanley cup hockey on to help ease my bummedness about phish go redwings less then 2 hours till the puck drops
447,1.0,my movie not working hate you internet
448,1.0,submit
449,1.0,smiley button badges rm250 for 10pcs and memo pad rm2 each keep on smiling
450,1.0,oh no best stick to flipflops tomo  i will love the dvds guarenteed me and gabs have scheduled next sat night in for a festx
451,1.0,wow congrats
452,1.0,goin to church
453,1.0,my ambience was great this morning it is full throttle reading news isnt the usual routine for me but ok its free
454,1.0,is shattered but happy that she completed the race for life
455,1.0,right i am off to the hospital  seeya later
456,1.0,yeah we see you struggling lol look after my lovely   xx
457,1.0,has good girls go bad by cobra starship and leighton meester as her ring tone
458,1.0,haha of course id say that the dutch are just a tad cuter  but still berlin and its inhabitants are the best
459,1.0,ah i figured you probably were or kept a very punishing schedule
460,1.0,friendly yes harmless yes classic reading girl yes simple not so much   whatcha writing
461,1.0,lol nooo ive been on here for months and have a way worse attn span  but ok maybe  watch out for me
462,1.0,here is a new art piece im wrking on for fun    let me know what u think
463,1.0,i will be changing the picture of the flip flops so you can all see what is on this site so you can see the products and colors in there
464,1.0,hahaha thanks katie
465,1.0,everybody check out  song quotyou givin me a rushquot its amazing  amp its a version of  quotrush rushquot
466,1.0,and i do love mars planets loved them before they were out in germany british shops are the best
467,1.0,yup i am working today on my way down right now and gonna stop at timmies as usual
468,1.0,a squirrel says to a tree quoti did not store any acorns for the winter so i am deadquot it is funny because the squirrel is dead  lol
469,1.0,watched hes just not that into you and slumdog millionaire enjoyed both the latter more though
470,1.0,buon giorno after a marathon day yesterday  i dont think the jet lag will be too bad coconut gelato is currently my favorite flavor
471,1.0,eating
472,1.0,thnx 4 appreciating
473,1.0,haha sure  doritos are yummy especially chilli heatwave haha xd
474,1.0,i have been cabbing cos can claim from company muahaha  i miss you guys too
475,1.0,lmao  woohoo you made me laugh big time today thanks
476,1.0,ah mate enjoy  well be thinking of you from the stuffy halls
477,1.0,we know that  but some 2legs are not so smart
478,1.0,drivin  is a beautiful dayyy
479,1.0,lt3 when you guys doing a signing in scotland again  there sooo fun lt3 xxxxxxx
480,1.0,now i am
481,1.0,now im going to cook something to my family i really love cooking and baking they calm me down and after cooking or baking im happy
482,1.0,is reading through all her as french stuff just to re jog the old brain
483,1.0,i have just decided my job when i grow up is going to be work for the jonas brothers and help create their tour
484,1.0,sign up for the mt dew sweepstakes and win prizes
485,1.0,i think this brilliant performance summarizes my thoughts quite well   thanks
486,1.0,hey guys hows it hangin not much news but one of my bffs just cracked a rib kind of feel sorry 4 her i just got the sickest beats of ti
487,1.0,chateando  jeje
488,1.0,yeah normally i do when im out with my older cousins but my parents are just stricted but im a junior class of 10
489,1.0,thats what im listenting too  a fine album
490,1.0,have fun youll have to tell me all about it
491,1.0,awww ull get it soon enough
492,1.0,having been at work since 8 i suppose one could leave now except it being my first day and the ceo is seated behind me still
493,1.0,apluskare u tlking to me
494,1.0,awww well sleep well when you fall asleep
495,1.0,i finally succumbed to twitter
496,1.0,i just hooked it up to my cell you just texted me
497,1.0,secret twitter will eat your soul i kicked that habit
498,1.0,good morning ivy enjoy your reading
