,sentiment,text
1015351,positive,help! I'm getting addicted to twitter... working at twitting at the same time 
1057371,positive,"Did some Summer cleaning of my computer, removed 12.5GB "
1297883,positive,@emilypoe Thanks!  
1384057,positive,White water here I come! 
1094246,positive,on the way to the airport 
1451272,positive,"At first, I had my doubts that #nextMEDIA tech crowd could pull off the party at Aurora...but damn was I wrong! Goodnight everyone! "
1108061,positive,"it's not my job to know anybody, anybody says so, I would immediately keep distance with them......... "
1101354,positive,"bum notes: guess what, I'm now watching MMK. Those TV shows in the buses must have some effect on my tolerance for local TV channels.  "
1281161,positive,No one on Twitter has #goodsex. You can all pretend. 
1280827,positive,"@fadedmoon wow. i will need to adjust my sleep. or just wake up like this. at odd times.  well i do that anyway, its how i roll hehe "
1436624,positive,@CorkyIsCrazy Night 
1595507,positive,@NuGoth lol So am I - kinda  What is it you do actually?
1229556,positive,got back from hastings/bexhill last night - brill wknd got a little bit burnt - ooops 
1246465,positive,Coffee date with the ladies  I see Cotie in a few hours &lt;3
1234483,positive,"@AstheniaRocks Feel abit poorly, but okay otherwise. Hungry tho.  as always. You okay shiney boy?x"
1426575,positive,@suzanne_young it's nice isn't it... *pets shelf of pretty books* its just missing urs!!  lol
1577557,positive,@Tyrese4ReaL if so can you share that #Tupac Memory with us 
1186197,positive,@Rosental  Porto is incredibly beautiful.
911836,positive,@mkeguy69 thank you  have a great weekend
1473453,positive,Had a great time last night skyy vodka does the body good... until the next morning.  hehe
1258158,positive,@madilovesmerder me 2  My MacBook is packed with GA music haha
1580750,positive,right after being distracted by @loadingreadyrun 's wiki ive decided to start getting on with some of @weirdo_films video stuff 
808717,positive,@savagestar That would be cute 
1309097,positive,@ESPN_ProdGirl thanks. we had a good team working on this. More stuff to come. 
905807,positive,i'm yours - jason mraz....looking for an electric guitar  yay!!!1
1352624,positive,@nickybyrneoffic are westlife definently coming back? ive been to every concert in glasgow and last year got first row for the first time 
1042859,positive,"is happy that today is a good friday, don panic, be happy "
1087297,positive,"Lovely day in Abingdon, driving to North Yorkshire as soon as we've got everything together, hope Sun stays with us "
1476175,positive,@cazob then jb wiill sweep you up and take you with them 
1371841,positive,yay twitter is back  i'm glad i was only awake for 4 minutes of this maintenance crap.
1208429,positive,Following P!nk  (L)(L)
1281372,positive,@nikkifirth aren't the 1st morning tweets the most excitables 
844006,positive,Morning world. It's a beautiful day  Here's hoping for some pathetic fallacy
1456029,positive,@janelle30 Or &quot;there&quot; - whatever.  It's bloody early! But insomnia = fresh blueberry muffins for breakfast. Mmm!
917647,positive,"@scottrmcgrew I know sleep is so over rated! who needs it, right! "
1480597,positive,Thank you very much everybody for the kind comments about my design work - I'm flattered. 
837072,positive,Belgium's still the same 
813510,positive,@SlantedSmiley fine its OURS 
868602,positive,@Jo6789 Indeed I do.  http://bit.ly/Iw9j9. Then again we are ESRI NZ  Estimating customers in NZ should recieve it sometime in June.
1070616,positive,@SCottNYdam:  Hope you're mending up well.  I look forward to seeing you buzzing around France soon.  
1484982,positive,@jonathanrknight ......... 
828846,positive,is heading back home this afternoon after a great weekend up here 
1385946,positive,@SingmySorrow i have for itunes.. i can burn you the itunes copy if you want 
1109807,positive,"@carltonf @travisfitzwater Carlton better get on it. I just lapped him!  2256 followers as of this morning. ;) Travis, I'm comin' for ya! "
1397615,positive,LOADING... || watching nothing but the truth. 
1543619,positive,i missed wearing jeans 
818279,positive,"damn, i haven't read any more of breaking dawn, but i've got loads of piano music  might just go and experiment with them ......."
1479149,positive,@jaxn do it  I'll follow and contribute.
1315366,positive,@ElizaPatricia The glasses make you look coquettish. 
958674,positive,is taking ESV study bible to church dispite chiropractors recomendations not to  it's big
1315203,positive,@tracecyrus http://twitpic.com/6ipnf - Hmmm YUM   btw why you have so many tatoos ? not like i hate it or anything lol x
1147630,positive,@tommcfly please tom! say 'hola' to the argentinian fans! 
859787,positive,just ha5 dinner at We be shushi. We be happy 
1387177,positive,is off to the gym... to do some hectic cardio training 
1212250,positive,"lol she is definatley insane,if you couldnt tell from the start then you wernt paying much attention ppl!! "
1124558,positive,@Pensm Depends which side. Will be either 20&quot; or 31&quot; 
1249575,positive,@JUMPINSOUNDS @CocaBeenSlinky did a really cool thing with a bubble video that might be worth looking into too 
839781,positive,@lilygetcrunkk septum and you are coming 
1017632,positive,por fin viernesssssssssssssssssssssssssssssssss... 
1074429,positive,gonna watch 'the outsiders' 
1064590,positive,@mileycyrus http://twitpic.com/67hac - Looks like you guys were having fun 
950508,positive,@zaxonate47  kaathaala romba bore adichathu.. athan   hws t hot hot weekend
1521739,positive,@travismcglasson Some really awesome girls... 
957576,positive,"is getting ready for a day outside.  I should go out and mow the lawn, and then golfing this afternoon.  "
856891,positive,Amazing person and a leader Now its time to say a big thank you Dial my number any time as You will always have me as a friend 
1339290,positive,"@LorraineStanick Oh that's cool. My ex had a band, so I spent a lot of time home alone... At least you're bein productive tonite "
993974,positive,@sitleclark thanks. 
1580759,positive,back from the blood test now i get 2 eat 
1162640,positive,last night was well good  Charlotte &amp; Imogens are awesome.
1353540,positive,"and to clear it up...this wasn't an insult...  love ya  (could you say to clear sth up...also, etwas klarstellen ? )"
1285997,positive,"going to sainsburys n then cutteslowe after ,by the way this message is sent through txt not web  x"
846793,positive,is playing around on facebook then im going out before i go to work .  x
1429262,positive,@mmkrill Brings back memories 
1411785,positive,"@jldavid Hey, nice new pic! Sounds like you had a good trip. "
1101957,positive,"yay party tonite, tried getting ready for it last night but was so tired. it least i know what i am going to wear "
1594108,positive,"@DarleneVictoria Oh, I hope you and @KenaRoth don't have to wait that long either "
1121182,positive,Mojitos are really good.  Hanging out with the Covas family for Brittaney's graduation.  
1221206,positive,Just got sent home from school for being to far ahead despite missing 3 weeks of school. Woot. 
1443413,positive,kenny chesney concert was amazing!! i LOVE sugarland! 
1214043,positive,'It Ain't Over 'Til It's Over'  â« http://blip.fm/~7f4b7
1255082,positive,@AlyssaVacco I kno... So I change that 100 to 200 ughh 
1263213,positive,@dmlcartel I agree... it doesn't match my eyes and it makes my skin tone look pale.  
1111738,positive,"just had lunch...lol btw, good afternoon ppl "
1236244,positive,"@Wossy yeah, and flock of seagulls haircuts "
839949,positive,BRITNEY SPEARS IS FOLLOWING ME!!!!! how cool I should improve my twitters 
1125638,positive,"@bkzzang woh, nothing judgmental here. just a pure guess retrieved from 140. "
927955,positive,@MayaaKibbel the bahamas is the best place ever to relax. i can't wait to go back 
1169950,positive,"@Banksyart2 I started off just messaging new peeps that appeared on old account, but then thought may as well work my way back... "
865574,positive,@sreejith At least you got @karteekj create his account 
1281960,positive,On my way to @wesleyshearer's for breakfast 
1325852,positive,@munz Go for it! Bridezillas is a good topic. Plus u have first hand experience. 
1273420,positive,"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. "
1310625,positive,"@lollipopup That's fine. Better than keeping it dead, right? "
989989,positive,Is watchin her burger n chips being cookd lol  x
1277704,positive,@brigittepicot LOL exercise yes. brain gym. yes i did 
992398,positive,@ItsTimCox Thanks so much  I just really wanna hear his commentary! hahaha  I'm almost done watching all TV Whedon. I'm up to Spin t ...
1265370,positive,@likeSunday  One needs to go further up the road. It's only a bit farther than where you're at 
1220566,positive,@MohammedQBM if you had the test already: how did u do? If not: good luck 
1410922,positive,Going to the car show today cant wait 
1263610,positive,Finally got twitterfon up &amp; running 
1562337,positive,Accompany Zakir to do his passport today 4 cousin wedding on Saturday. Need to eat more.I'm getting thinner again.. 'lol' Stresshead... 
1105219,positive,@laurasap Still Learning... But Always Want To Rock! Whoot! hehe  LOL
1132769,positive,http://twitpic.com/6ap6b - Oatmeal Raisin Cookies 
1043940,positive,@ironikfans thanks for the follow  x
924824,positive,going outt for supper tn(:    Happy Mothers Dayy 
1163092,positive,@virtualoptions yes @odemagazine is on Twitter 
1332452,positive,@ cheskalabbyu  thanks for following  take care â¥
803520,positive,We have $89 in extra GGUI donations and I've been thinking that should go towards IPB. $170 total needed! Can anyone still donate? 
994990,positive,@jkaymackey very good manners! 
1398381,positive,Today shall be great 
1038879,positive,@PeterJWestwick oooo wanna share with me?! 
967238,positive,"@lounginglinda Ouch. Their biological clocks are quiet wonky, aren't they? Hee. B. loves schedule. As long as it doesn't match mine. "
910783,positive,"@thomaskattus you asked about my SF schedule, dahling...maybe next time "
1347692,positive,"@amandapiell Oh, I'm a girl, and gaming computers are awesome - they support better graphics and sound, so games are pretty and don't lag "
1029581,positive,Night all. Only 5 hours of sleep last night &amp; I was cranky ALL day. Short with everyone. Tomorrow I shall have more patience &amp; bk 2 me 
801359,positive,@EmVicW really? i interpret it as 'yes i can do that &amp; not bother u further' (hav said to bosses in the past) 
1577961,positive,@MoocherGirl Hi - survey seems working now 
1574315,positive,"Morning. I have messy hair, and it's wet. Time to get dressed. Science, History, R.E and Music exam today "
1364280,positive,@lalamana @souljaboytellem maybe coz of hight hill. Tc 
1453300,positive,http://twitpic.com/6thoo - my smile technique  so you wont see my pimple. hahaa
1462372,positive,"&amp;&amp; i'LL confess that i can be a LiL seLfish,, smiLe "
1542436,positive,"whoo ah whoo, each night we have a walk, it almost breaks my heart, because im so afraid we'll have to part  "
1290832,positive,~~~~&gt; &quot;street dreams are made of these....who am ! to d!sagree&quot; (-4th!rty.......! LOVE TH!S SONG)....  
1238305,positive,@nerdseyeview oh.my.goodness. I have been saying &quot;prophetess&quot; for years. I think I even screamed it at a concert. SO EMBARRASSED! 
1099274,positive,@BeckyFearns hahaha :') okay.. i hopeee you loooose  oh and i pre orderd new jb album  and burnin up book and rolling stone posterr  x
1012743,positive,@sage_in_spain Good morning  How are you ?Thank you for the #followfriday !
1480560,positive,My dog is definitely cuter than yours. 
1059997,positive,@susanforshner  that exciting huh!!
1527508,positive,Cousins graduation 
883093,positive,"@OLMMark Yeah, just wrote something. Just published it, actually. Have a third glass of wine left. Bed soon, I guess.  How are ya?"
1532372,positive,"@Astro_127 Fingers crossed, and all the best to you. Like millions, I'd love to be in your shoes. Maybe just for the launch part though. "
907209,positive,How is everyone on this fine Monday?   what is everyone's opinion of the new Wolverine movie?
1147780,positive,@SkiptheZip Thanks.  Hahah well hopefully your internet gets fixed soon...
1595885,positive,@jasondilts That's awesome.  
1586905,positive,"Plan for today: have a bath, get ready, eat, get to the garden &amp; get drunk - and then tomorrow it's my bday at last "
1404541,positive,Movie day 
816423,positive,My kitty's so snuggly and Designed to Sell is on. What else do I need? Hmm... maybe some food 
1445891,positive,is watching Titanic 
968619,positive,I'm so excited  have a fantastic day
865342,positive,@steveellwood There sure seems to be a lot of Cromarty in your life today.  Hope the weather stays fine for the fence painting.
1378387,positive,"Aww, I love Tom Milsom's music. @hexachordal  Think you don't get enough appreciation. "
942447,positive,@bondscoop thanks -- no wonder I couldn't find it. I 'll take my $$ out of the mattress now. 
1076528,positive,"Does your skin care routine keep away redness, wrinkles, and acne? Mine does.      www.votrevu.com/socalbeauty  Want FREE samples?"
1287472,positive,Waiting for mum friend to come he gonna teach me how to drive a land rover  luuv big cars ;) 
1416899,positive,time to enjoy what's left of the weekend after a day in work...homemade pizza for tea &amp; cannot wait for a lie in tomorrow 
1182977,positive,"@jordanknight either way, it'll be exciting for them. "
931547,positive,@JACKtheTRIPPER hi sweet pea. 
1280285,positive,@Mennard You're welcome...most enjoyable to read  x
1116473,positive,"@jamiefarhat so I'm leaving soon to go to a park with my mum, but when I return we must watch LOST, oh and I'm on episode 11 of BTVS "
972617,positive,found out about the earthquake on twitter.  didnt feel it one bit because i was driving 
1502896,positive,Lakers lead by six in overtime yay! 
1486682,positive,"@bhaugh Hrm, happy &quot;10,000 days old&quot; day? "
836965,positive,Had a gooood wekeend  now having a biiig breakfast to then do my HW and have the night off
1090119,positive,Highland Wildlife park today yeyyy  Yuri and Sasha the tiggies....shorrttssssss aye
1569761,positive,"@basseyworld lol, no im not a &quot;logo designer person&quot; per se.. lol, but i happen to be good and everything but a pro at nothing.. "
1364255,positive,lazy friday night with my chicas 
1177985,positive,@ankurjain84 i like to remember it as M goes with M ie Mallory Weiss is the Mucosal tear. Then the other one's the other one. 
1219967,positive,@weisslu well if you are ever bored.... I'd give it a go! 
1378430,positive,@ShrimptonCoutur = mother: http://tinyurl.com/qg6h4n  @ShrimptonGirl = daughter: http://tinyurl.com/r8y8yf Let us know what you think! 
888504,positive,@dinnerlady LOL! I love ur sense of humor! I'd better nevr let u find out bout my most embarrassing stuff. U'll nevr let me live it down! 
916754,positive,"@BrandenHaydon Yes, I really do. "
1050277,positive,yay! I'm leaving for Dallas! @cutekiwi you are still invited! 
1271051,positive,fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! 
815509,positive,boored and still doesnt get whats TWITTER:someone plss explain to me 
1429743,positive,"@waddling yup am now, complications were had so am home mending now, good to be out of hospital, missing the endless cups of tea tho "
1038103,positive,excited that wristcutters is finally on On Demand 
1228732,positive,I'm gonna cuddle with my dog and play Donkey Kong. My life is pathetic 
1201826,positive,I know that I have issues but you're pretty fucked up too....so don't judge me 
1589324,positive,thanks to everyone following me  i have a bebo http://www.bebo.com/madison_pettisxx
1414276,positive,@caseyore well when I have to move again I know where I am going!!  yay!! lol
984471,positive,Mmmm slim fast and a fruit cup... Yummy breakfast 
1245786,positive,@AndreaGreer1 SOOO good seeing you 
1344884,positive,"@Aerliss If you find any, let me know.  All I ever find is manga."
1509845,positive,"ohhh! and and and, haha, lol. Swag? igotmyswagback?? HAhaa. Honestly I feel flattered. "
1189322,positive,Now a days it's not good to be married to a liberal I already stay in trouble 4 not agreeing with her even more so now 
850145,positive,@CBCebulski Are ChesterQuest runner-ups invited to send you more recent samples? I'd love to see what you think about my current stuff. 
1374097,positive,love spain! it's so much fun! 
1584576,positive,Observation after 24 hours of Russia.  I think they like being pessimistic here  #rusland2009
928329,positive,I won't get a chance to put in my FOB question in so I'm a little bummed but I'm watching Jim Gaffigan: King Baby so it's all good  BACON!
1293612,positive,"@ work early, emptied the dishwasher, cleaned the kitchen, and made coffee....and its only 10 after 8. "
1535299,positive,3 things I need rite now *food **car ***my negra  lol  http://myloc.me/3V2n
1454683,positive,@spyn Yeah they are quite uncommon. I only know of them thanks to Gran Turismo 
1280430,positive,@MariaJEchelon no prob! im glad youre enjoyin it 
1037848,positive,@itsmeleighton hey leighton! how are you? i really like your songs!  you're such a great actress  take care!
1380792,positive,@joshtastic1 they should bottle it  LOL
1385403,positive,@YourDarlinh wtf are you still awake? I wanna go swimming 
1397910,positive,"I'll be tweeting 4U during the 48hr tweetfest to raise money 4 schools in Kenya/Ethiopia, 17-19Jun. #GHNI  (via @JJNextGenTV)"
808125,positive,I love the theme song. &quot;It all started with the big bang BANG!!!&quot; 
1129056,positive,@Cheekz you could always go to Seattle - I think they should have some cool places? 
1552873,positive,No santigold for me tonight. work til 10 and I'm off tomorrow 
1473358,positive,Jenson Button - 6 wins from 7 races!!!!!!!   Hope he can keep it up at Silverstone  lol http://is.gd/RHUo
873807,positive,Hey the @JonasBrothers are doing a live web chat on May 7th! I'm inviting you! http://bit.ly/14etEe #jonaslive 
1185915,positive,@JonathanRKnight for realz! Safe travels- hope things go much more smoothly this time around.   &amp; that you are having a great day so far!
864545,positive,In fairness. He smells good. 
1386575,positive,thatboy; - Your welcome. I like your posts.  http://tumblr.com/xp01ys7mt
965315,positive,@iamtherumour_ annnie babes!  i have to revise for busman  give me sympathy. hahaha
1492739,positive,Waiting for Game 2 To Start! GO LAKERS 
1414461,positive,@colinbaylen you guys! 
1132415,positive,"@joshgrieve I take it back. You called me last week and I said no. You get a pass this time, but dont let it happen again "
1238601,positive,@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. 
819511,positive, someone is happppy(:
943858,positive,"Saw the Hawks' Dustin Byfuglien, Kris Versteeg &amp; Colin Fraser out in the neighborhood on this kick ass Thursday morn. Conference Finals "
1421404,positive,http://fotolog.com/iheartmarion please?  about marion cotillard â¥
1081479,positive,@goldenspines Twitter often does weird stuff.  
1556801,positive,"Finished the first day of Bridges. Exhausted, but happy "
1057374,positive,@martinboz  didn't know you were watching the new Dr. Who - I like the show (and the  Dr.) too!
1221547,positive,Will be away for a few minutes now. LUNCH!  hehe x
824270,positive,@Osoyb On our birthday i am definatly coming down to regina n we will party it up    cant wait haha 
929722,positive,I had forgotten just how lovely Loratabs are when in pain. Maybe sleep will be in my cards tonight. 
855003,positive,@berniegrace hehe good one 
921899,positive,@bevsss @maiasky Girls! Are we having dinner on Wednesday?? With Mels and Pews? 
1034247,positive,just finished working out 
895186,positive,@taraschwarze Not sure my tweets will be up to usual standard for some days while I wake up 
1495965,positive,Splish splash  welcome summer
1152030,positive,@Volcompunk G'day mate 
1489881,positive,@everabstract We're having Leeky Linguine with shrimp and sour dough bread on the side. It's super easy to cook and tastes delicious 
1491640,positive,"Just finished the 2nd shopaholic book   going to bed now, back to school tomorrow."
1262251,positive,Thank you @tenketanken @lifeinthegalaxy @empowereddanfit for the love and for the retweets!  â¼ â¥ â« âª
1245095,positive,I look forward to joining the revolution 
1386984,positive,@suchietje Glad to hear it 
1440623,positive,Just came back from watching my brothers play seven hours of volleyball with @jacquelinecano &amp; Alex Smith.  Fun but very long and tiring.
1295151,positive,sending out paper work to tax commission to have the process to get the title for my bike so i can do the major repairs 
1096821,positive,@MomaMiaCL welcome moma to Twitter! 
992541,positive,"@BrokerSaunders and that is why Jeremy did not ride the bull.  Although I told @jeffx offered $500 to do it.  I said make it $1,000! "
1188334,positive,@Dannymcfly : Danny. PLEASE PLEASE PLEASE say 'Ich liebe Deutschland'. pleeeeease.  xx
1245606,positive,@marielenh Try adding/changing bio. It worked for me  for some strange reason... :S
1082956,positive,Sleeping... Finally 
1537730,positive,@Fernwise  also with runes keep it simple as possible
1302772,positive,Note 2 All: Premier Issue Arriving October instead of September.  Extra month to get it juuuuuuuust right  
1286027,positive,"Watched the New Moon trailer just then, now just have to wait for the next one "
1325987,positive,Daft punk can cheer up any situation 
1283158,positive,@waynebrady Happy Birthday!!!!  Hope you have an awesome day!!! 
1463620,positive,"@svennemans Amen !! And let's not forget, the 14e GS title, which puts him right next to Sampras... No pressure, Roger, noooo pressure "
1112600,positive,2 words. PARANOID~JONAS 
802045,positive,@routhietootie Camilla! I love your eyes! You have the cutest face! and the most gorgeous figure. Really good actor. 
1396900,positive,"@Lady_Twitster Hey Lady, how you been??? "
1141246,positive,Just saw Star Trek again and it was just as good as the first time! That says a lot about a movie these days. 
1245640,positive,"thinking of school.  and blogging too,  i loveee robert pattinson."
1372422,positive,@josche LuckyLucky boy. My bf and I broke up...the distance was too much. So happy for you.  Rock that boys world. 
1556363,positive,is enjoying the beginning of her summer 
1106314,positive,@andyclemmensen ..... well i said that cos obviously Shaun &lt;3's himself alot... so i &lt;3 you alot  hahahahah
1343578,positive,@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  
1265530,positive,@ddlovato sana claus s tru you are so very pretty 
1398558,positive,"looking forward to stephen porter and sasha in lush this evening, getting oiled up as i type "
1411935,positive,Fuddruckers with @gcmilatzo 
1317538,positive,@blitzmegaplex SWEEET! Now that's the kinda news I wanna hear  haha.
1136146,positive,@xohsnap OMG YOU'RE FINALLY FRIENDS WITH THE EMO FAG!!! 
1025845,positive,"for my very short #followfriday, some new tweeps that I have found very interesting  @SDArtJournal @dwellephant @ranchovalencia"
1040625,positive,soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie 
1229118,positive,"Oh, and did I meantion that I bought a Crackberry just after midnight?  Yeah.  Should be here tomorrow afternoon. "
1133378,positive,"@gingy23  I know, this week will be amazing. they're like 15 mins away from me omg omg"
1425366,positive,What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up 
1391414,positive,Off to school on a Saturday! Oh God! Starbucks stop! 
1466861,positive,Still cant believe that i'm in Smd! 
1373834,positive,I had so much fun with Dyson at the races tonight!!.. I'm excited excited about girls night in St.Loius! 
1257728,positive,"@ktabin Exactly, which is why I suggested it. "
1134823,positive,ahaha muy bueno http://bit.ly/NXMY7  the lion sleep tonight 
1314964,positive,@julianzito sharing is caring 
1004872,positive,@Gailporter morning..good for you.. good news on the smile front  
1075642,positive,"Up was amazing! I love Doug the dog, must get a stuffed one at WDW, I hope to one day see my name in the credits for a Disney movie "
1459744,positive,@philwill Your target speed for our &quot;race&quot; will be revised accordingly 
1184253,positive,listening some music 
1171995,positive,@spytel we got thrown under the bus by friends were left behind to sit together. We agreed we in out on purpose sometime this week 
1132248,positive,playing some killer basketball with some friends! 
961315,positive,"@qclindalou Haha, that only helps if anything.  Thanks."
1093060,positive,"@lilyroseallen ah, how lovely  i hope you have a peaceful and relaxing day! truly cannot wait to see you in australia. x"
974581,positive,@Adri214 Hey...  I know you!!  
933748,positive,cant wait to get away for the weekend. finals tomorrow and off to the river to get my tan on 
1464875,positive,@_Dannii_ OMG GUESS WHAT I'M DRAWING!!! hi 
981200,positive,@kayakchick @hllf I hear that Washington is beautiful 
1559067,positive,@KrsytalNichole....What???? He better stop it!  Its amazing how u meet someone out the blue and click with them instantly! 
835134,positive,I can sleep in more... Yay 
1486573,positive,@missandree  thanks!  i'm happy with how it turned out
983058,positive,"@rebekahhah We'll be filming / tweeting / blogging, so you'll be able to see all the doggy guests. "
1209620,positive,"the new moon teaser is great, it must be the new director ; ) jacob is a hottie now! i wanna see the rest of the wolfpack though "
1503345,positive,@VincentWright Yeah. It's not an easy time out there now. Thankfully there are good ppl like @pinkslipped and @pinkGIFT to help! 
1469696,positive,"@DanielApt I don't think so. And maybe we should call the cat Flugel after all, I've always wanted to meet a alcoholic cat once "
1275352,positive,now holds the Guinness World Record fÃ'm one in 20 Million 
1243588,positive,@I_am_Heather Awesome  Well have fun in NZ!
1060579,positive,"U know 1st date awkwardness? Twitter is just like that. But the more you hang out 2gether, more comfortable u become "
966148,positive,@YourMyTwilight have fun! 
1423119,positive,@RoxanneAmelia yeh!!! so excited  xxx
1237552,positive,"@jenwoodhouse well technically May ran outta days, you &amp; I don't have to call it June if we don't wanna  lol"
1575118,positive,I want to see away we go!!! i love you john 
1209883,positive,power Advertisement: how do you guys handle fax?  i want to receive them via email. no hassle. anyone tried MyFax?  http://is.gd/LfD3
1220184,positive,Its 6.36pm in the lovely Albany. What time is it over there guys? Love to here from you! 
1382946,positive,FRESH ! 
1411903,positive,@tinawhite75 any evening but Monday and Wednesday... I have class those nites. Otherwise I'm good!  So excited! Do u need ribbon 4 Sheri C
1459316,positive,Metro Station are in philippines! Fly me home! 
947082,positive,@RudeBoy28 Remember me? 
1429656,positive,eatinqq Î± beef patty  .
1537993,positive,@Yelovesit hell yea cutie 
855355,positive,@loobeelou nope i am infact superwoman 
1221299,positive,@fattysammy Is perfectly cooked and delicious not an option? 
928897,positive,I'm 18 almost 19 (May 30th)and have only had sex with 2 girls.... And plus it would make a sweet b-day present 
1285065,positive,@shamim86 Want to swap? 
1394403,positive,Was up to early this morning - Went to the tip and everything ! Feeling tired now. Feel a relaxing trip to the pub coming on ! 
1167144,positive,changed my profile photo. Hope it looks nice! 
985795,positive,"My day so far, laundry, trip into town, back home.  Now am going to have a well deserved break before lunch then a visit to the library "
1222402,positive,@Lauradorax3 Sweet me too! i cant wait to tell the receptionist in the Doctors office about it  she likes hearing about our adventures ...
977773,positive,@Gracious_Grace omg!  How mean!  They're adorable!  
1431960,positive,"@itsconcon Lol, that's what i do too, just travel to school everyday, and fridays and weekends off "
1577523,positive,I think I start loving FriendFeed  http://ff.im/422Be
1167645,positive,it's night already??? That was quick! 
1384882,positive,"@mitchelmusso HEY LOW, Mitchel. awesome music  WOOT."
1419870,positive,@Leslie2823 I still have the blackjack 
1036198,positive,"@Jon_Favreau Now that I now you're an owner, I'll try it out! There's one here in Roseville, CA! "
849543,positive,"Good morning! Feeling a little sNaRkY this morning.  How are you, you, you AND you?  "
859376,positive,@chrisabraham Congratulations on reaching over 7000 followers. You are much loved to have many who support and follow your tweets. 
1055190,positive,@Akelaa You're welcome! Google Wave Rocks! Can't wait to use it 
1498998,positive,Went to the dark side and rooted my G1 
1020353,positive,@skiNZ_Official woohooooooooooo!! is stalking ya! 
1087245,positive,follo0w the beards  @30secondstomars
